ds,ds_ordinal,yhat
2025-06-19,739421,113.53531791687011
2025-06-20,739422,113.53531791687011
2025-06-21,739423,113.53531791687011
2025-06-22,739424,113.53531791687011
2025-06-23,739425,113.53531791687011
2025-06-24,739426,113.53531791687011
2025-06-25,739427,113.53531791687011
2025-06-26,739428,113.53531791687011
2025-06-27,739429,113.53531791687011
2025-06-28,739430,113.53531791687011
2025-06-29,739431,113.53531791687011
2025-06-30,739432,113.53531791687011
2025-07-01,739433,113.53531791687011
2025-07-02,739434,113.53531791687011
2025-07-03,739435,113.53531791687011
2025-07-04,739436,113.53531791687011
2025-07-05,739437,113.53531791687011
2025-07-06,739438,113.53531791687011
2025-07-07,739439,113.53531791687011
2025-07-08,739440,113.53531791687011
2025-07-09,739441,113.53531791687011
2025-07-10,739442,113.53531791687011
2025-07-11,739443,113.53531791687011
2025-07-12,739444,113.53531791687011
2025-07-13,739445,113.53531791687011
2025-07-14,739446,113.53531791687011
2025-07-15,739447,113.53531791687011
2025-07-16,739448,113.53531791687011
2025-07-17,739449,113.53531791687011
2025-07-18,739450,113.53531791687011
